minutes,n_blocks,observed_total,ci_lo,ci_hi,p_nonpositive
30,51,-68.26389999999999,-162.80624500000005,26.729217499999894,0.92
60,48,-68.26389999999999,-164.10978,32.230709999999874,0.91065
90,48,-68.26389999999999,-162.32039500000002,28.875600000000002,0.91775
