model,split,n,next_mse,next_direction_accuracy,log_loss,brier,auc
market,valid,30618,0.3317428119520712,0.5266183290874649,0.5739602138128717,0.19609995042730627,0.7672992280050248
market,test,22554,0.314908161478768,0.5162277201383346,0.5808208357376207,0.19864456445039907,0.7611011870153027
own,valid,30618,0.33124349191161934,0.5313214449016919,0.573218520233493,0.19578878151073686,0.7680771846147707
own,test,22554,0.31453330083447895,0.5205728473884899,0.5807925402832643,0.19870576173359003,0.760821189392618
peer,valid,30618,0.3310304799833381,0.5295904369978444,0.5730994946598388,0.1957381206641282,0.7681988238051805
peer,test,22554,0.31411018008647484,0.5198634388578522,0.580867364507447,0.19873503406133558,0.7607396461563127
