excluded_hour,n,total_pnl,edge_per_contract
0,408,60.4259,0.009873513071895426
1,407,111.47390000000001,0.018259443079443084
2,403,92.55270000000004,0.01531062034739455
3,416,57.41270000000003,0.009200753205128209
4,412,117.20419999999999,0.018965080906148863
5,413,62.49050000000004,0.010087247780468126
6,416,65.65970000000002,0.010522387820512822
7,413,81.49760000000002,0.013155383373688462
8,412,99.69070000000004,0.01613118122977347
9,415,59.7638,0.00960061044176707
10,416,53.239200000000025,0.008531923076923081
11,408,63.606900000000024,0.010393284313725494
12,403,62.95530000000003,0.010414441687344919
13,411,62.863500000000016,0.010196836982968372
14,409,106.18440000000001,0.017307970660146704
15,412,104.47560000000001,0.016905436893203885
16,406,45.913799999999966,0.007539211822660093
17,412,52.84020000000001,0.008550194174757282
18,407,31.61499999999998,0.005178542178542175
19,410,86.55189999999997,0.014073479674796744
20,411,87.69380000000001,0.014224460665044607
21,406,68.5694,0.011259343185550082
22,413,63.207000000000036,0.01020290556900727
23,405,67.0587,0.01103846913580247
