split,rank,n,days,total_pnl,mean_day,sd_day,edge_per_contract,win_rate,mean_ask,max_drawdown,worst_window,positive_day_fraction
train,1,79,36,149.1236,4.142322222222222,7.717502551958895,0.12584270042194093,0.9113924050632911,0.7734177215189875,32.6247,-12.8839,0.6944444444444444
train,2,3,36,-6.3557,-0.17654722222222222,2.0525533967630394,-0.14123777777777777,0.6666666666666666,0.7966666666666665,11.5916,-11.5916,0.05555555555555555
train,3,0,36,0.0,0.0,0.0,,,,0.0,0.0,0.0
valid,1,49,18,52.86,2.9366666666666665,9.287353511092382,0.07191836734693878,0.8775510204081632,0.7942857142857144,25.052799999999998,-12.7412,0.6666666666666666
valid,2,12,18,-8.843600000000002,-0.4913111111111113,4.314274704347784,-0.049131111111111125,0.75,0.7875,31.221,-11.736,0.3333333333333333
valid,3,0,18,0.0,0.0,0.0,,,,0.0,0.0,0.0
test,1,57,20,43.118100000000005,2.1559049999999997,10.846405026865618,0.05043052631578948,0.8421052631578947,0.7798245614035089,46.5079,-12.7412,0.7
test,2,12,20,-8.557100000000004,-0.4278550000000002,3.8194145797594357,-0.04753944444444447,0.75,0.7858333333333335,26.1278,-12.8839,0.3
test,3,2,20,-10.0519,-0.502595,2.7861128224548573,-0.3350633333333333,0.5,0.825,0.0,-12.168,0.05
