bid_min,bid_max,wait_min,ask_lo,ask_hi,n_train,train_edge,train_dpd
0.6,0.75,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.6,0.75,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.6,0.75,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.6,0.8,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.6,0.8,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.6,0.8,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.65,0.75,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.65,0.75,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.6,0.85,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.6,0.85,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.6,0.85,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.65,0.75,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.65,0.85,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.7,0.75,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.7,0.75,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.65,0.85,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.65,0.8,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.65,0.8,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.65,0.8,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.65,0.85,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.7,0.8,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.7,0.8,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.7,0.85,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.7,0.85,2,0.6,0.8,175,9.556110476190474,6.967997222222222
0.7,0.85,2,0.65,0.8,175,9.556110476190474,6.967997222222222
0.7,0.8,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.7,0.75,2,0.55,0.8,175,9.556110476190474,6.967997222222222
0.6,0.85,2,0.55,0.9,236,8.751508474576271,8.60565
0.7,0.8,2,0.6,0.9,236,8.751508474576271,8.60565
0.7,0.85,2,0.65,0.9,236,8.751508474576271,8.60565
0.7,0.85,2,0.55,0.9,236,8.751508474576271,8.60565
0.7,0.8,2,0.65,0.9,236,8.751508474576271,8.60565
0.7,0.75,2,0.55,0.9,236,8.751508474576271,8.60565
0.7,0.8,2,0.55,0.9,236,8.751508474576271,8.60565
0.7,0.75,2,0.6,0.9,236,8.751508474576271,8.60565
0.65,0.85,2,0.65,0.9,236,8.751508474576271,8.60565
0.65,0.75,2,0.65,0.9,236,8.751508474576271,8.60565
0.6,0.85,2,0.65,0.9,236,8.751508474576271,8.60565
0.65,0.75,2,0.6,0.9,236,8.751508474576271,8.60565
0.65,0.75,2,0.55,0.9,236,8.751508474576271,8.60565
0.65,0.85,2,0.55,0.9,236,8.751508474576271,8.60565
0.65,0.8,2,0.6,0.9,236,8.751508474576271,8.60565
