split,cap,n,days,total_pnl,mean_day,sd_day,edge_per_contract,win_rate,mean_ask,max_drawdown,worst_window,positive_day_fraction
train,1,79,36,149.1236,4.142322222222222,7.717502551958895,0.12584270042194093,0.9113924050632911,0.7734177215189875,32.6247,-12.8839,0.6944444444444444
train,2,82,36,142.7679,3.965775,7.597155902135822,0.11607146341463415,0.9024390243902439,0.7742682926829269,29.5049,-12.8839,0.6944444444444444
train,3,82,36,142.7679,3.965775,7.597155902135822,0.11607146341463415,0.9024390243902439,0.7742682926829269,29.5049,-12.8839,0.6944444444444444
valid,1,49,18,52.86,2.9366666666666665,9.287353511092382,0.07191836734693878,0.8775510204081632,0.7942857142857144,25.052799999999998,-12.7412,0.6666666666666666
valid,2,61,18,44.016400000000004,2.445355555555555,10.831983344175558,0.04810535519125683,0.8524590163934426,0.7929508196721311,48.2405,-24.047600000000003,0.6111111111111112
valid,3,61,18,44.016400000000004,2.445355555555555,10.831983344175558,0.04810535519125683,0.8524590163934426,0.7929508196721311,48.2405,-24.047600000000003,0.6111111111111112
test,1,57,20,43.118100000000005,2.1559049999999997,10.846405026865618,0.05043052631578948,0.8421052631578947,0.7798245614035089,46.5079,-12.7412,0.7
test,2,69,20,34.56100000000001,1.72805,13.367255231918898,0.033392270531400974,0.8260869565217391,0.7808695652173915,68.5632,-25.6251,0.65
test,3,71,20,24.50910000000001,1.2254550000000006,14.656614890588697,0.023013239436619728,0.8169014084507042,0.782112676056338,80.73119999999999,-37.793099999999995,0.65
