excluded_hour,n,total_pnl,edge_per_contract
0,217,55.57300000000002,0.0170731182795699
1,215,109.75440000000003,0.03403237209302326
2,215,91.15150000000003,0.028264031007751947
3,219,75.23160000000001,0.02290155251141553
4,214,103.3106,0.03218398753894081
5,216,71.62400000000001,0.022106172839506177
6,221,95.45610000000002,0.028795203619909508
7,219,77.51860000000002,0.02359774733637748
8,219,91.5085,0.027856468797564687
9,223,75.15460000000003,0.022467742899850533
10,223,88.72070000000001,0.026523378176382662
11,216,84.02340000000002,0.025933148148148157
12,215,80.446,0.024944496124031008
13,216,69.46230000000003,0.02143898148148149
14,218,89.84000000000003,0.027474006116207962
15,219,106.65600000000002,0.032467579908675805
16,215,47.451500000000024,0.01471364341085272
17,216,68.88090000000001,0.02125953703703704
18,220,92.61130000000006,0.02806403030303032
19,215,77.57780000000002,0.024055131782945747
20,217,85.42380000000003,0.026243870967741945
21,216,78.81540000000003,0.02432574074074075
22,222,71.16550000000001,0.021371021021021022
23,215,95.33220000000003,0.029560372093023264
