arm,assigned_opportunities,submitted_contracts,probe_fills,no_fills,commitments,ioc_filled_qty,commit_win_rate,mean_commit_ask,fees,total_pnl,pnl_per_assigned,pnl_per_submitted,pnl_per_filled,daily_mean,daily_sd,max_drawdown,worst_close_window,worst_30min,worst_60min,worst_90min,positive_day_fraction,capital_minutes
CONTROL,303,4545.0,277,26,0,0.0,,,0.0,2.9644499999999425,0.009783663366336444,0.0006522442244224296,0.0007192308018909557,1.4822249999999855,141.13536689965864,229.66475000000008,-36.75,-62.55,-81.9,-100.50000000000001,0.5,36276.62377243128
PROBE_ONLY_60,303,303.0,264,39,0,0.0,,,0.0,0.5799999999999965,0.0019141914191419028,0.0019141914191419028,0.002196969696969684,0.28999999999999826,10.323759005323595,16.48,-2.45,-4.17,-5.6899999999999995,-6.98,0.5,2339.655730587802
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936
