ptc_pnl,diagnostic_pnl,control_pnl,ptc_minus_diagnostic,ptc_minus_control,ptc_mean_day,diagnostic_mean_day,control_mean_day,ptc_max_drawdown,diagnostic_max_drawdown,control_max_drawdown,ptc_worst_window,diagnostic_worst_window,control_worst_window,wait_seconds,ask_ceiling,commit_qty,cancel_latency_seconds,slippage_cents,ioc_fill_fraction,path_matched,probe_fills,commits,commit_win_rate,commit_mean_ask,stress_axis
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,wait
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,120,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,wait
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,180,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,wait
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,300,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,wait
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.76,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,ask_ceiling
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.78,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,ask_ceiling
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,ask_ceiling
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.82,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,ask_ceiling
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.85,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,ask_ceiling
33.9448,9.429999999999998,1.9762999999999664,24.514800000000005,-59.658833333333305,16.9724,4.714999999999999,0.9881499999999832,7.1032,7.090000000000002,153.1098333333333,-6.1132,-2.45,-24.5,60,0.8,10,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,quantity
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,quantity
58.4598,9.429999999999998,3.952599999999933,49.02980000000001,-128.7474666666666,29.2299,4.714999999999999,1.9762999999999664,13.5664,7.090000000000002,306.2196666666666,-12.5764,-2.45,-49.0,60,0.8,20,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,quantity
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,cancel_latency
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.25,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,cancel_latency
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.5,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,cancel_latency
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,1.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,cancel_latency
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,2.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,cancel_latency
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,3.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,cancel_latency
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,slippage
51.077799999999996,9.429999999999998,2.9644499999999425,41.647800000000004,-89.32764999999995,25.538899999999998,4.714999999999999,1.4822249999999855,10.482,7.090000000000002,229.66475000000008,-9.491999999999999,-2.45,-36.75,60,0.8,15,0.0,1.0,1.0,220,199,12,0.9166666666666666,0.67,slippage
60.818,9.429999999999998,2.9644499999999425,51.388000000000005,-79.58744999999996,30.409,4.714999999999999,1.4822249999999855,10.628899999999998,7.090000000000002,229.66475000000008,-9.6389,-2.45,-36.75,60,0.8,15,0.0,2.0,1.0,220,199,14,0.9285714285714286,0.6685714285714285,slippage
76.01289999999999,9.429999999999998,2.9644499999999425,66.5829,-64.39254999999997,38.006449999999994,4.714999999999999,1.4822249999999855,10.7757,7.090000000000002,229.66475000000008,-9.7857,-2.45,-36.75,60,0.8,15,0.0,3.0,1.0,220,199,17,0.9411764705882353,0.6647058823529413,slippage
74.09709999999998,9.429999999999998,2.9644499999999425,64.66709999999998,-66.30834999999999,37.04854999999999,4.714999999999999,1.4822249999999855,11.0685,7.090000000000002,229.66475000000008,-10.078500000000002,-2.45,-36.75,60,0.8,15,0.0,5.0,1.0,220,199,17,0.9411764705882353,0.6723529411764706,slippage
16.7841,9.429999999999998,2.9644499999999425,7.354100000000001,-123.62134999999995,8.39205,4.714999999999999,1.4822249999999855,5.220000000000002,7.090000000000002,229.66475000000008,-2.45,-2.45,-36.75,60,0.8,15,0.0,0.0,0.25,220,199,11,0.9090909090909091,0.6709090909090908,ioc_fill_fraction
26.5902,9.429999999999998,2.9644499999999425,17.1602,-113.81524999999995,13.295099999999998,4.714999999999999,1.4822249999999855,5.220000000000002,7.090000000000002,229.66475000000008,-4.174300000000001,-2.45,-36.75,60,0.8,15,0.0,0.0,0.5,220,199,11,0.9090909090909091,0.6709090909090908,ioc_fill_fraction
36.3961,9.429999999999998,2.9644499999999425,26.966099999999997,-104.00934999999996,18.19805,4.714999999999999,1.4822249999999855,7.7495,7.090000000000002,229.66475000000008,-6.7595,-2.45,-36.75,60,0.8,15,0.0,0.0,0.75,220,199,11,0.9090909090909091,0.6709090909090908,ioc_fill_fraction
46.2022,9.429999999999998,2.9644499999999425,36.772200000000005,-94.20324999999994,23.1011,4.714999999999999,1.4822249999999855,10.3348,7.090000000000002,229.66475000000008,-9.3448,-2.45,-36.75,60,0.8,15,0.0,0.0,1.0,220,199,11,0.9090909090909091,0.6709090909090908,ioc_fill_fraction
