horizon_minutes,bucket,n,signed_spot_mean_bp,win_rate,entry_bid,calibration_residual_c
1,0,1639,-12.863846201891208,0.5991458206223307,0.6998962782184258,-10.075045759609516
1,1,1639,-3.530694976410866,0.6479560707748627,0.6969310555216596,-4.897498474679682
1,2,1638,-0.18650586558065843,0.7185592185592186,0.6965506715506716,2.200854700854702
1,3,1639,3.1237852864512274,0.7913361805979255,0.6953691275167786,9.596705308114705
1,4,1639,12.85941602756916,0.8419768151311775,0.6970164734594264,14.49603416717511
2,0,1639,-17.66429901907291,0.5430140329469189,0.7003355704697988,-15.732153752287978
2,1,1639,-4.814211053781859,0.6467358145210494,0.6961317876754118,-4.93959731543624
2,2,1638,-0.19439475520224486,0.7271062271062271,0.6950976800976802,3.2008547008547024
2,3,1639,4.425392567732846,0.8200122025625382,0.6956375838926175,12.43746186699207
2,4,1639,18.386917009747023,0.8627211714460037,0.6984990848078096,16.4222086638194
3,0,1639,-20.328235945042596,0.49725442342892007,0.6989444783404515,-20.16900549115314
3,1,1638,-5.830059473998285,0.6251526251526252,0.6978205128205128,-7.266788766788765
3,2,1638,-0.28553147112856436,0.7545787545787546,0.6954212454212455,5.915750915750918
3,3,1638,5.1992070099522625,0.8217338217338217,0.6959706959706959,12.57631257631258
3,4,1639,22.20787918799818,0.8999389871873094,0.6975045759609518,20.243441122635755
