excluded_coin,n,pnl_q15,edge_c
DOGE,12,-25.2,-13.999999999999998
HYPE,81,-172.94999999999996,-14.234567901234566
SOL,81,-172.2,-14.172839506172838
XRP,72,-146.25,-13.541666666666666
