excluded_coin,n,total_pnl,edge_per_contract
BTC,55,52.56930000000001,0.06372036363636366
DOGE,184,241.54860000000002,0.08751760869565219
ETH,143,173.1073,0.08070270396270397
HYPE,182,281.4587,0.10309842490842491
SOL,179,240.07569999999998,0.08941366852886405
XRP,182,236.74890000000002,0.0867212087912088
