excluded_coin,n,total_pnl,edge_per_contract
BTC,325,53.3741,0.010948533333333333
ETH,343,75.40960000000001,0.014656870748299322
SOL,345,68.93110000000004,0.013320019323671505
XRP,367,10.06150000000001,0.0018277020890099928
DOGE,391,104.385,0.017797953964194375
HYPE,369,71.52270000000003,0.012921897018970195
