wait,ceiling,qty,latency,slippage_c,fill_fraction,n,probe_fills,no_fills,commits,commit_win_rate,commit_mean_ask,diag_pnl,ptc_pnl,control_pnl,ptc_minus_diag,ptc_minus_control,ptc_mean_day,ptc_max_dd,ptc_worst_window,axis
60,0.8,15,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,wait
120,0.8,15,0.0,0.0,1.0,303,271,32,5,1.0,0.7460000000000001,-0.44000000000000483,17.63389999999999,2.9644499999999425,18.0739,14.669450000000012,8.816949999999999,13.18,-2.45,wait
180,0.8,15,0.0,0.0,1.0,303,274,29,5,0.8,0.7540000000000001,0.4499999999999993,2.9316999999999984,2.9644499999999425,2.4816999999999996,-0.03274999999996453,1.4658499999999985,14.2769,-11.4469,wait
300,0.8,15,0.0,0.0,1.0,303,276,27,4,1.0,0.7275,0.129999999999999,15.672799999999997,2.9644499999999425,15.5428,12.708350000000053,7.8363999999999985,10.989999999999998,-2.45,wait
60,0.76,15,0.0,0.0,1.0,303,268,35,5,1.0,0.748,-0.38000000000000256,17.5304,2.9644499999999425,17.9104,14.565950000000043,8.765199999999998,12.551600000000004,-2.45,ceiling
60,0.78,15,0.0,0.0,1.0,303,268,35,7,0.8571428571428571,0.7557142857142857,-0.38000000000000256,8.914199999999994,2.9644499999999425,9.2942,5.949750000000023,4.457099999999997,12.910200000000003,-12.5502,ceiling
60,0.8,15,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,ceiling
60,0.82,15,0.0,0.0,1.0,303,268,35,13,0.9230769230769231,0.7761538461538463,-0.38000000000000256,25.906799999999986,2.9644499999999425,26.2868,22.942350000000033,12.953399999999995,12.910200000000003,-12.5502,ceiling
60,0.85,15,0.0,0.0,1.0,303,268,35,20,0.9,0.795,-0.38000000000000256,27.719999999999988,2.9644499999999425,28.099999999999998,24.755550000000028,13.859999999999996,14.415000000000001,-12.5502,ceiling
60,0.8,10,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,11.767499999999995,1.9762999999999664,12.1475,9.791200000000032,5.883749999999997,11.70390000000001,-8.590200000000001,qty
