branch,n,share,mean_pnl_c,total_pnl_q15,yes_win_rate
both,29,0.35365853658536583,5.379310344827587,23.400000000000006,0.4827586206896552
only_yes,14,0.17073170731707318,-47.14285714285714,-99.0,0.0
only_no,14,0.17073170731707318,-46.00000000000001,-96.60000000000002,1.0
none,25,0.3048780487804878,0.0,0.0,0.52
