config,split,n,days,total_pnl,mean_day,sd_day,t_stat,edge_per_contract,win_rate,mean_ask,mean_bid_move_c,max_drawdown,worst_window,positive_day_fraction
d1_move0c_ask0.80_widen0c_volall,train,661,36,-294.15700000000004,-8.17102777777778,30.11088485628327,-1.6281875109504242,-0.02966787695410994,0.735249621785174,0.7519515885022693,5.432677760968231,418.66659999999996,-12.168,0.4444444444444444
d1_move0c_ask0.80_widen0c_vol2k,train,311,36,-91.39179999999999,-2.538661111111111,20.388031431213722,-0.7471033541446669,-0.019590953912111467,0.7395498392282959,0.7459807073954984,4.790996784565918,183.5855000000002,-12.168,0.4444444444444444
d1_move0c_ask0.80_widen1c_volall,train,752,36,-234.86140000000006,-6.5239277777777795,30.860864617103754,-1.2683885287184233,-0.020821046099290787,0.7446808510638298,0.7525531914893616,5.341755319148936,351.2050000000002,-12.168,0.4722222222222222
d1_move0c_ask0.80_widen1c_vol2k,train,331,36,-141.6186,-3.9338499999999996,20.07146824996688,-1.175952835440374,-0.0285233836858006,0.7311178247734139,0.7464954682779457,4.7190332326284,225.34119999999984,-12.168,0.4166666666666667
d1_move0c_ask0.80_widennone_volall,train,837,36,-236.42500000000007,-6.567361111111114,32.308567344461245,-1.2196197450216515,-0.018831142970927923,0.7479091995221028,0.7538351254480287,5.200716845878136,325.9604000000004,-12.168,0.5
d1_move0c_ask0.80_widennone_vol2k,train,334,36,-161.39139999999998,-4.483094444444443,19.234238266768596,-1.3984731962658428,-0.03221385229540918,0.7275449101796407,0.7466167664670659,4.727544910179641,233.52239999999983,-12.168,0.4166666666666667
d1_move0c_ask0.82_widen0c_volall,train,696,36,-306.6101,-8.516947222222225,29.150580583578545,-1.753024547377988,-0.029368783524904216,0.7413793103448276,0.7580172413793103,5.8979885057471275,413.88479999999987,-12.454999999999998,0.4444444444444444
d1_move0c_ask0.82_widen0c_vol2k,train,338,36,-68.12510000000005,-1.8923638888888894,21.788782396193202,-0.5211022409089306,-0.013436903353057207,0.7514792899408284,0.7519822485207102,5.121301775147931,168.24060000000014,-12.454999999999998,0.4444444444444444
d1_move0c_ask0.82_widen1c_volall,train,796,36,-263.7883000000001,-7.327452777777777,31.61414189367506,-1.3906661396829672,-0.02209282244556115,0.75,0.7594095477386935,5.825376884422113,389.0601000000001,-12.454999999999998,0.5277777777777778
d1_move0c_ask0.82_widen1c_vol2k,train,361,36,-110.28670000000002,-3.063519444444445,21.800267619167553,-0.8431601385712052,-0.020366888273314874,0.7451523545706371,0.7526038781163433,5.022160664819946,201.9310999999999,-12.454999999999998,0.4166666666666667
d1_move0c_ask0.82_widennone_volall,train,889,36,-266.1772,-7.3938111111111136,33.314304161012345,-1.3316462037524543,-0.019960794900637423,0.7536557930258717,0.7609898762654668,5.7199100112485946,358.85280000000034,-12.454999999999998,0.4722222222222222
d1_move0c_ask0.82_widennone_vol2k,train,364,36,-130.0595,-3.6127638888888907,20.99978944372202,-1.0322286035974353,-0.02382042124542125,0.7417582417582418,0.7526648351648351,5.027472527472529,210.1122999999999,-12.454999999999998,0.4166666666666667
d1_move0c_ask0.85_widen0c_volall,train,784,36,-179.75599999999997,-4.993222222222223,30.460943748977137,-0.9835326699074897,-0.015285374149659862,0.7691326530612245,0.7722704081632653,6.954081632653064,341.1496000000004,-12.8839,0.4444444444444444
d1_move0c_ask0.85_widen0c_vol2k,train,396,36,-29.57270000000001,-0.821463888888889,23.504606082190453,-0.2096943601649166,-0.004978569023569026,0.7727272727272727,0.7653030303030303,6.196969696969698,146.8454,-12.8839,0.5833333333333334
d1_move0c_ask0.85_widen1c_volall,train,891,36,-118.49469999999998,-3.2915194444444444,31.538392305114815,-0.6261928786859502,-0.008866045641601197,0.77665544332211,0.7734118967452303,6.863075196408531,299.83490000000006,-12.8839,0.5277777777777778
d1_move0c_ask0.85_widen1c_vol2k,train,421,36,-68.22189999999999,-1.895052777777778,23.468583255328344,-0.4844909700326769,-0.010803151227236737,0.7672209026128266,0.7656294536817102,6.102137767220904,184.79220000000007,-12.8839,0.5277777777777778
