wait_seconds,branch,n,win_rate,mean_ask,share_ask_60_80,eligible_n,direct_taker_edge_c,mean_effective_wait
60,filled,199,0.7386934673366834,0.6185929648241206,0.592964824120603,118,3.7676384180790987,1784119977.6780431
60,no_fill,21,0.9523809523809523,0.6238095238095238,0.5714285714285714,12,22.64472222222222,1784112276.0387921
120,filled,199,0.7386934673366834,0.6185929648241206,0.592964824120603,118,3.7676384180790987,1784119977.6780431
120,no_fill,21,0.9523809523809523,0.6238095238095238,0.5714285714285714,12,22.64472222222222,1784112276.0387921
180,filled,199,0.7386934673366834,0.6185929648241206,0.592964824120603,118,3.7676384180790987,1784119977.6780431
180,no_fill,21,0.9523809523809523,0.6238095238095238,0.5714285714285714,12,22.64472222222222,1784112276.0387921
300,filled,199,0.7386934673366834,0.6185929648241206,0.592964824120603,118,3.7676384180790987,1784119977.6780431
300,no_fill,21,0.9523809523809523,0.6238095238095238,0.5714285714285714,12,22.64472222222222,1784112276.0387921
