excluded_close_minute,n,total_pnl,edge_per_contract
0,170,43.0858,0.016896392156862745
15,168,74.9256,0.029732380952380955
30,176,106.9921,0.04052731060606061
45,167,33.60820000000001,0.013416447105788428
