quantity,mean_day,p_hit_211_30d,p_drawdown_ge_30pct_30d,median_terminal_30d,terminal_p05,terminal_p95,median_max_drawdown,max_drawdown_p95
10,2.208056756756757,0.00011,0.00023,367.31764999999996,307.05662,421.53630499999986,17.22890000000001,41.27438499999997
15,3.312185135135135,0.00215,0.00678,401.01855,310.585015,482.89544,25.95179999999999,61.84145999999979
20,4.416248648648648,0.01024,0.03579,434.78925,313.78922500000004,542.917635,34.45750000000004,82.94034999999994
