,0,15,30,45
2026-05-25,-10.5746,-15.544900000000002,6.9658,9.0785
2026-05-26,12.6292,-20.4953,-3.9542999999999995,7.251
2026-05-27,3.5531,-8.900299999999998,5.665800000000001,2.6883999999999992
2026-05-28,-5.783400000000001,8.928199999999999,0.0,0.0
2026-05-29,-6.210199999999999,3.1197999999999997,3.5531,2.1161000000000003
2026-05-30,-5.344499999999999,-9.7641,0.0,8.3576
2026-05-31,-12.598199999999999,5.2338,-8.1829,7.689400000000001
2026-06-01,3.4083999999999994,-8.172799999999999,0.0,3.1197999999999997
2026-06-02,17.2873,-3.9558000000000018,-2.6570000000000005,0.0
2026-06-03,3.843000000000001,-7.7943999999999996,-11.736,2.831999999999999
2026-06-04,10.379299999999999,2.6883999999999992,9.36,-7.4590999999999985
2026-06-05,2.6290999999999993,7.6913,-10.482099999999999,6.3850999999999996
2026-06-06,7.540900000000001,-11.157,3.6979,6.1044
2026-06-07,7.780299999999999,7.5414,-12.7412,5.8119000000000005
2026-06-08,11.6172,8.499900000000002,0.0,3.6979
2026-06-09,14.3167,2.831999999999999,3.6979,5.0919
2026-06-10,0.0,-8.037199999999999,2.9757999999999996,11.0998
2026-06-11,7.540900000000001,17.0509,-5.0631,0.0
2026-06-12,2.5449999999999995,2.6883999999999992,10.753799999999998,16.6246
2026-06-13,0.0,-5.3518000000000026,-11.5916,2.831999999999999
2026-06-14,3.9883,3.5531,2.1161000000000003,8.932500000000001
2026-06-15,4.425400000000001,-11.8802,-12.168,-11.3021
2026-06-16,0.0,-9.189799999999998,-4.7706,3.843000000000001
2026-06-17,2.2588000000000004,4.133800000000001,4.2795000000000005,6.383799999999999
2026-06-18,6.8177,1.4284000000000008,-24.3328,-15.112700000000002
2026-06-19,3.1197999999999997,-24.7654,-7.458599999999999,11.7651
2026-06-20,8.122500000000002,3.6979,-5.639200000000002,3.5531
2026-06-21,18.1529,-1.6371999999999987,2.545000000000001,-10.0528
2026-06-22,11.384800000000002,-0.9826000000000024,-8.468599999999999,-6.502600000000002
2026-06-23,0.0,13.4933,0.0,3.843000000000001
2026-06-24,7.2523,-0.6830999999999996,-14.098099999999999,7.922999999999999
2026-06-25,13.056599999999998,4.133800000000001,0.0,2.2588000000000004
2026-06-26,11.616599999999998,6.961499999999999,11.6191,7.2514
2026-06-27,7.2523,3.535699999999999,2.588400000000002,11.3382
2026-06-28,-12.8839,-9.192200000000003,0.0,6.240399999999998
2026-06-29,0.0,15.9931,17.1422,-16.694699999999997
2026-06-30,5.376999999999999,11.621799999999999,6.535600000000001,-16.261499999999998
2026-07-01,2.2588000000000004,5.8102,5.8119000000000005,11.1864
2026-07-02,10.325400000000002,4.5715,-12.024200000000002,5.2359
2026-07-03,13.3466,-11.0117,11.3302,-27.8104
2026-07-04,4.946800000000001,20.8416,-3.230999999999998,-8.757099999999998
2026-07-05,8.5003,-30.013699999999996,-5.206500000000002,4.804499999999999
2026-07-06,10.899799999999999,2.9757999999999996,0.0,3.6979
2026-07-07,-18.6702,5.089999999999999,-10.5746,-1.9374000000000007
2026-07-08,7.5414,-11.4469,0.0,9.9377
2026-07-09,4.133800000000001,-6.065100000000001,4.8038,-5.777699999999999
2026-07-10,5.2338,6.9619,10.901299999999999,3.4083999999999994
2026-07-11,-8.6137,-4.3367,-2.5977999999999977,2.831999999999999
2026-07-12,0.0,3.5531,2.1161000000000003,6.3901
2026-07-13,-5.349200000000002,-7.218099999999998,8.9317,-10.1955
2026-07-14,11.192,17.3365,11.6264,3.6979
2026-07-15,-5.205300000000001,11.6174,8.7921,-5.349700000000001
2026-07-16,-9.9092,6.1044,7.0633,-12.8839
2026-07-17,16.851899999999997,12.335999999999999,-14.5707,4.5973000000000015
2026-07-18,12.110800000000001,-3.2307999999999986,-9.3342,6.384199999999999
2026-07-19,5.8077999999999985,10.898399999999999,11.765999999999998,-6.358400000000001
2026-07-20,2.6368000000000027,0.7615000000000034,7.1081,9.9411
2026-07-21,4.9468,13.016300000000001,8.9301,14.214200000000002
2026-07-22,-10.6251,0.0,-18.7474,5.3801000000000005
2026-07-23,4.133800000000001,0.0,2.6883999999999992,4.1693999999999996
2026-07-24,-28.238599999999998,7.396100000000001,8.786999999999999,-1.9412000000000007
2026-07-25,-11.736,-20.493499999999997,-5.0583,7.251
2026-07-26,11.0945,-9.3308,5.808199999999999,-7.6022
2026-07-27,9.945,-5.6398,0.0,-19.4807
2026-07-28,11.9087,8.7928,-18.2306,14.597999999999999
2026-07-29,8.071000000000002,5.5228,5.6648,11.82
2026-07-30,-11.8802,-12.024200000000002,-10.7205,5.2359
2026-07-31,10.9541,4.8768,-18.8136,4.9468
2026-08-01,-5.781299999999998,10.239400000000002,4.9468,2.1161000000000003
2026-08-02,1.4310999999999994,10.039700000000002,12.192199999999998,7.6356
2026-08-03,5.663999999999998,1.9130000000000007,3.493100000000001,5.0257000000000005
2026-08-04,15.6116,-2.8431999999999995,-5.636699999999999,-7.5062999999999995
2026-08-05,7.0633,-8.616200000000001,-5.631599999999999,-3.233599999999999
2026-08-06,0.0,0.0,0.0,0.0
