excluded_week,n,pnl_q15,edge_c
2026-29,48,-88.49999999999999,-12.291666666666666
2026-30,39,-96.30000000000003,-16.461538461538467
2026-31,78,-166.34999999999994,-14.217948717948714
2026-32,81,-165.45,-13.617283950617285
