arm,assigned_opportunities,submitted_contracts,probe_fills,no_fills,commitments,ioc_filled_qty,commit_win_rate,mean_commit_ask,fees,total_pnl,pnl_per_assigned,pnl_per_submitted,pnl_per_filled,daily_mean,daily_sd,max_drawdown,worst_close_window,worst_30min,worst_60min,worst_90min,positive_day_fraction,capital_minutes,axis,value
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,cancel_latency,0.0
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,cancel_latency,0.25
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,cancel_latency,0.5
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,cancel_latency,1.0
PTC_60,303,498.0,265,38,13,195.0,0.8461538461538461,0.7646153846153846,2.4516,13.268399999999993,0.04379009900990097,0.02664337349397589,0.02884434782608694,6.634199999999996,4.242216423050576,12.910200000000003,-12.5502,-12.8602,-11.7102,-10.680200000000001,1.0,4115.214998786197,cancel_latency,2.0
PTC_60,303,498.0,265,38,13,195.0,0.8461538461538461,0.7646153846153846,2.4516,13.268399999999993,0.04379009900990097,0.02664337349397589,0.02884434782608694,6.634199999999996,4.242216423050576,12.910200000000003,-12.5502,-12.8602,-11.7102,-10.680200000000001,1.0,4115.214998786197,cancel_latency,3.0
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,slippage_c,0.0
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7721428571428571,2.58,0.8499999999999925,0.0028052805280527806,0.001656920077972695,0.0017932489451476636,0.4249999999999954,12.002006239791749,18.2821,-12.694200000000002,-13.1221,-12.6221,-12.1621,0.5,4261.755730587802,slippage_c,1.0
PTC_60,303,468.0,264,39,11,165.0,0.7272727272727273,0.7554545454545454,2.1041,-6.1741000000000055,-0.020376567656765696,-0.013192521367521378,-0.014391841491841504,-3.0870500000000036,12.147033840613108,18.426900000000003,-12.838,-13.2669,-12.7669,-12.3069,0.5,3805.6057305878016,slippage_c,2.0
PTC_60,303,453.0,264,39,10,150.0,0.8,0.7430000000000001,1.9539999999999997,7.175999999999993,0.02368316831683166,0.01584105960264899,0.017333333333333315,3.587999999999997,1.8916520610302527,18.5716,-11.5502,-13.4116,-12.9116,-12.451600000000001,1.0,3646.7557305878017,slippage_c,3.0
PTC_60,303,423.0,264,39,8,120.0,0.75,0.75,1.531,-0.9510000000000076,-0.003138613861386164,-0.0022482269503546278,-0.00247656250000002,-0.4755000000000036,2.4116583879148417,19.099200000000003,-11.838,-13.7002,-13.2002,-12.740200000000002,0.5,3400.7557305878017,slippage_c,5.0
PTC_60,303,345.0,264,39,14,42.0,0.7857142857142857,0.7621428571428571,0.5324,1.0375999999999976,0.003424422442244217,0.003007536231884051,0.0033908496732026065,0.5187999999999984,10.578034603838278,15.1201,-3.0460999999999996,-4.17,-5.460000000000001,-6.298399999999999,0.5,2719.095730587802,ioc_fill_fraction,0.25
PTC_60,303,401.0,264,39,14,98.0,0.7857142857142857,0.7621428571428571,1.2407,1.6492999999999984,0.005443234323432338,0.004112967581047377,0.004556077348066294,0.8246499999999983,10.916526619992277,14.612899999999998,-6.2141,-7.026599999999998,-6.526599999999998,-6.066599999999999,0.5,3225.015730587802,ioc_fill_fraction,0.5
PTC_60,303,457.0,264,39,14,154.0,0.7857142857142857,0.7621428571428571,1.9499,2.260099999999996,0.0074590759075907455,0.004945514223194739,0.005406937799043053,1.1300499999999984,11.255372189536871,15.629600000000002,-9.3822,-10.0018,-9.5018,-9.041799999999999,0.5,3730.9357305878016,ioc_fill_fraction,0.75
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,ioc_fill_fraction,1.0
PTC_60,303,373.0,264,39,14,70.0,0.7857142857142857,0.7621428571428571,0.8867,1.3432999999999957,0.0044333333333333195,0.003601340482573715,0.0040218562874251365,0.6716499999999979,10.74724525657622,14.8665,-4.6301000000000005,-5.539,-5.460000000000001,-5.920000000000001,0.5,2972.0557305878015,commit_qty,5.0
PTC_60,303,443.0,264,39,14,140.0,0.7857142857142857,0.7621428571428571,1.7726999999999997,2.1072999999999933,0.006954785478547832,0.004756884875846486,0.005216089108910874,1.0536499999999975,11.170660797150724,15.084200000000003,-8.590200000000001,-9.258,-8.758,-8.298,0.5,3604.4557305878016,commit_qty,10.0
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,commit_qty,15.0
PTC_60,303,583.0,264,39,14,280.0,0.7857142857142857,0.7621428571428571,3.5446,3.635399999999997,0.011998019801980188,0.006235677530017148,0.006682720588235289,1.8176999999999959,12.017421167621615,21.856,-16.5103,-16.8203,-16.195999999999998,-15.736,0.5,4869.255730587802,commit_qty,20.0
PTC_60,303,423.0,264,39,8,120.0,0.75,0.745,1.5956000000000001,-0.4156000000000013,-0.001371617161716176,-0.0009825059101654877,-0.00108229166666667,-0.20780000000000132,5.093855830311653,20.787000000000003,-11.1169,-12.977,-12.477,-12.017000000000001,0.5,3412.4557305878016,ask_ceiling_SENSITIVITY_ONLY,0.76
PTC_60,303,453.0,264,39,10,150.0,0.7,0.751,1.9618,-9.031800000000004,-0.02980792079207922,-0.01993774834437087,-0.021815942028985517,-4.515900000000002,15.802422345956966,20.787,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,3679.9057305878014,ask_ceiling_SENSITIVITY_ONLY,0.78
PTC_60,303,513.0,264,39,14,210.0,0.7857142857142857,0.7621428571428571,2.6586,2.871399999999996,0.009476567656765663,0.005597270955165684,0.006057805907172987,1.435699999999997,11.59400562704711,18.137,-12.5502,-12.977,-12.477,-12.017000000000001,0.5,4236.855730587802,ask_ceiling_SENSITIVITY_ONLY,0.8
PTC_60,303,558.0,264,39,17,255.0,0.8235294117647058,0.7705882352941176,3.1433999999999997,10.936599999999993,0.03609438943894387,0.01959964157706092,0.021072447013487462,5.468299999999996,5.891048015421369,12.977,-12.5502,-12.977,-12.477,-12.017000000000001,1.0,4601.355730587802,ask_ceiling_SENSITIVITY_ONLY,0.82
PTC_60,303,663.0,264,39,24,360.0,0.8333333333333334,0.7879166666666668,4.180199999999999,12.749799999999992,0.04207854785478545,0.01923046757164403,0.02043237179487178,6.374899999999997,13.005107919582978,17.3579,-12.5502,-12.977,-14.065000000000001,-13.865,0.5,5597.655730587801,ask_ceiling_SENSITIVITY_ONLY,0.85
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,cancel_latency,0.0
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,cancel_latency,0.25
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,cancel_latency,0.5
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,cancel_latency,1.0
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,cancel_latency,2.0
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,cancel_latency,3.0
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,slippage_c,0.0
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.6983333333333333,1.2875,11.072499999999991,0.036542904290429015,0.028174300254452903,0.03075694444444442,5.5362499999999955,11.32608286765553,10.989999999999997,-10.217400000000001,-10.527400000000002,-9.377400000000002,-8.347400000000002,0.5,3065.8433875672936,slippage_c,1.0
PTC_120,303,378.0,270,33,5,75.0,0.8,0.6880000000000001,1.1004,7.509599999999994,0.024784158415841563,0.01986666666666665,0.02176695652173911,3.7547999999999986,9.635178421804136,10.990000000000002,-10.364799999999999,-10.6748,-9.524799999999999,-8.4948,0.5,2941.7933875672934,slippage_c,2.0
PTC_120,303,363.0,270,33,4,60.0,0.75,0.67,0.9185,4.091499999999993,0.01350330033003298,0.011271349862258933,0.012398484848484827,2.0457499999999986,11.84736198674625,10.99,-10.511999999999999,-10.822,-9.671999999999999,-8.642,0.5,2816.0933875672936,slippage_c,3.0
PTC_120,303,378.0,270,33,5,75.0,0.8,0.674,1.1381000000000001,8.521899999999988,0.028125082508250784,0.022544708994708965,0.02470115942028982,4.260949999999997,8.305746962495308,11.165700000000001,-10.8057,-11.1157,-9.9657,-8.9357,0.5,2929.3433875672936,slippage_c,5.0
PTC_120,303,321.0,270,33,6,18.0,0.8333333333333334,0.7233333333333333,0.2454,1.944599999999994,0.006417821782178199,0.006057943925233626,0.006752083333333313,0.9722999999999979,10.310182555124813,15.056100000000002,-2.5500000000000003,-4.17,-5.460000000000001,-6.699999999999999,0.5,2535.7133875672935,ioc_fill_fraction,0.25
PTC_120,303,345.0,270,33,6,42.0,0.8333333333333334,0.7233333333333333,0.5721,4.257899999999996,0.014052475247524739,0.01234173913043477,0.01364711538461537,2.1289499999999983,11.300909866245286,14.224100000000004,-5.0565999999999995,-5.3666,-5.460000000000001,-6.699999999999999,0.5,2726.6733875672935,ioc_fill_fraction,0.5
PTC_120,303,369.0,270,33,6,66.0,0.8333333333333334,0.7233333333333333,0.8992,6.570799999999992,0.02168580858085806,0.017807046070460682,0.019555952380952358,3.2853999999999974,12.291637177365757,13.392200000000003,-7.5632,-7.873200000000001,-6.7232,-6.699999999999999,0.5,2917.6333875672935,ioc_fill_fraction,0.75
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,ioc_fill_fraction,1.0
PTC_120,303,333.0,270,33,6,30.0,0.8333333333333334,0.7233333333333333,0.4088,3.101199999999995,0.01023498349834982,0.009312912912912898,0.010337333333333316,1.5505999999999975,10.80558156602411,14.640100000000006,-3.8032999999999997,-4.17,-5.460000000000001,-6.699999999999999,0.5,2631.1933875672935,commit_qty,5.0
PTC_120,303,363.0,270,33,6,60.0,0.8333333333333334,0.7233333333333333,0.8175,5.992499999999992,0.01977722772277225,0.016508264462809896,0.018159090909090885,2.996249999999998,12.043937671916108,13.600200000000001,-6.936599999999999,-7.246599999999999,-6.0966,-6.699999999999999,0.5,2869.8933875672933,commit_qty,10.0
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,commit_qty,15.0
PTC_120,303,423.0,270,33,6,120.0,0.8333333333333334,0.7233333333333333,1.6345999999999998,11.775399999999989,0.038862706270627025,0.02783782505910163,0.030193333333333305,5.887699999999997,14.520720594378231,13.563100000000002,-13.2031,-13.5131,-12.3631,-11.3331,0.5,3347.2933875672934,commit_qty,20.0
PTC_120,303,348.0,270,33,3,45.0,0.6666666666666666,0.6566666666666667,0.7035,-0.04350000000001053,-0.0001435643564356783,-0.00012500000000003025,-0.00013809523809527152,-0.021750000000001712,15.386714269297395,15.680000000000001,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,2717.5433875672934,ask_ceiling_SENSITIVITY_ONLY,0.76
PTC_120,303,363.0,270,33,4,60.0,0.75,0.6875,0.8837,3.076299999999989,0.010152805280528017,0.00847465564738289,0.00932212121212118,1.5381499999999977,13.180682533351604,13.180000000000005,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,2846.243387567293,ask_ceiling_SENSITIVITY_ONLY,0.78
PTC_120,303,393.0,270,33,6,90.0,0.8333333333333334,0.7233333333333333,1.2259000000000002,8.88409999999999,0.029320462046204587,0.02260585241730277,0.024678055555555526,4.4420499999999965,13.28236448848623,13.180000000000007,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3108.5933875672936,ask_ceiling_SENSITIVITY_ONLY,0.8
PTC_120,303,408.0,270,33,7,105.0,0.8571428571428571,0.7371428571428572,1.3809,11.429099999999991,0.03771980198019799,0.02801249999999998,0.030477599999999976,5.714549999999997,11.482777730366466,12.079999999999997,-10.0698,-10.379800000000001,-9.229800000000001,-8.199800000000002,0.5,3243.8933875672938,ask_ceiling_SENSITIVITY_ONLY,0.82
PTC_120,303,483.0,270,33,12,180.0,0.8333333333333334,0.7816666666666666,2.0715000000000003,7.438499999999994,0.02454950495049503,0.01540062111801241,0.016529999999999986,3.719249999999998,2.675762770688017,14.415000000000001,-12.105,-12.415000000000001,-14.065000000000001,-13.865,1.0,3927.8933875672938,ask_ceiling_SENSITIVITY_ONLY,0.85
