wait,branch,n,win_rate,mean_ask,share_ask_60_80,eligible_n,taker_edge_c,mean_effective_wait
60,filled,191,0.7382198952879581,0.6933403141361256,0.581151832460733,111,5.548084084084085,99.39347397594551
60,no_fill,29,0.896551724137931,0.8214827586206896,0.3103448275862069,9,10.86622222222222,99.34765906169497
120,filled,193,0.7357512953367875,0.7151761658031088,0.533678756476684,103,3.2819546925566345,159.22590877478603
120,no_fill,27,0.9259259259259259,0.8620370370370372,0.18518518518518517,5,24.098533333333332,160.54204624670524
180,filled,196,0.7397959183673469,0.7181122448979592,0.42857142857142855,84,4.152325396825399,219.3735627118422
180,no_fill,24,0.9166666666666666,0.8542916666666667,0.20833333333333334,5,2.147466666666668,219.50072294473648
300,filled,198,0.7373737373737373,0.7399949494949495,0.2878787878787879,57,3.6855555555555557,339.54687732638735
300,no_fill,22,0.9545454545454546,0.8980454545454545,0.13636363636363635,3,21.76622222222222,337.9524514350024
