excluded_week,n,total_pnl,edge_per_contract
2026-22,169,269.4303,0.10628414201183431
2026-23,164,192.23340000000002,0.07814365853658538
2026-24,172,205.0936,0.07949364341085272
2026-25,172,202.2046,0.07837387596899224
2026-26,169,207.42300000000006,0.08182366863905327
2026-27,169,200.3468,0.07903226824457593
2026-28,170,244.57680000000002,0.09591247058823531
2026-29,162,219.6029,0.09037156378600823
2026-30,166,272.8895,0.1095941767068273
2026-31,162,220.4533,0.09072152263374486
2026-32,175,216.7628,0.08257630476190476
