excluded_coin,n,edge_per_contract,total_pnl
BTC,785,0.037421095541401286,440.63340000000017
DOGE,817,0.04094565483476133,501.78900000000016
ETH,794,0.037495608732157855,446.5727000000001
HYPE,807,0.04282721189591079,518.4234000000001
SOL,807,0.03603685254027262,436.2261000000001
XRP,785,0.038662157112526546,455.2469000000001
