wait,branch,n,win_rate,mean_ask,share_60_80,eligible_n,taker_edge_c,mean_obs_delay_s
60,filled,264,0.6931818181818182,0.6831250000000001,0.5909090909090909,156,1.517081196581198,38.317973983107194
60,no_fill,39,0.8717948717948718,0.8003333333333332,0.38461538461538464,15,2.277066666666666,40.034340534454735
120,filled,270,0.6925925925925925,0.6996222222222223,0.5148148148148148,139,0.20924700239808178,38.32111101327119
120,no_fill,33,0.9090909090909091,0.8277272727272728,0.18181818181818182,6,9.637888888888888,40.32074056972157
