config,split,n,days,total_pnl,mean_day,sd_day,t_stat,edge_per_contract,win_rate,mean_ask,mean_bid_move_c,max_drawdown,worst_window,positive_day_fraction,close_minute
d2_move2c_ask0.85_widen1c_vol2k,train,79,36,149.1236,4.142322222222222,7.717502551958895,3.2204632477931323,0.12584270042194093,0.9113924050632911,0.7734177215189875,7.050632911392406,32.6247,-12.8839,0.6944444444444444,0
d2_move2c_ask0.85_widen1c_vol2k,valid,49,18,52.86,2.9366666666666665,9.287353511092382,1.341525491586624,0.07191836734693878,0.8775510204081632,0.7942857142857144,9.79591836734694,25.052799999999998,-12.7412,0.6666666666666666,0
d2_move2c_ask0.85_widen1c_vol2k,test,57,20,43.118100000000005,2.1559049999999997,10.846405026865618,0.8889120627693872,0.05043052631578948,0.8421052631578947,0.7798245614035089,7.859649122807017,46.5079,-12.7412,0.7,0
d2_move2c_ask0.85_widen1c_vol2k,train,98,36,-34.299400000000006,-0.9527611111111108,9.668306880532842,-0.5912686406527895,-0.02333292517006803,0.7755102040816326,0.7872448979591836,8.85714285714286,76.0344,-12.7412,0.5277777777777778,15
d2_move2c_ask0.85_widen1c_vol2k,valid,55,18,38.727999999999994,2.1515555555555554,12.18096297377579,0.7493887930083744,0.04694303030303029,0.8363636363636363,0.7774545454545453,6.854545454545456,53.913999999999994,-12.7412,0.6666666666666666,15
d2_move2c_ask0.85_widen1c_vol2k,test,59,20,11.27830000000001,0.5639150000000002,8.748583369309753,0.28826433270448015,0.012743841807909616,0.8135593220338984,0.7893220338983052,8.711864406779661,35.4641,-12.455,0.5,15
d2_move2c_ask0.85_widen1c_vol2k,train,70,36,-56.383700000000005,-1.5662138888888881,8.434006129445,-1.1142134816010285,-0.05369876190476191,0.7428571428571429,0.7848571428571428,8.157142857142858,107.35989999999998,-12.8839,0.3888888888888889,30
d2_move2c_ask0.85_widen1c_vol2k,valid,46,18,29.7076,1.6504222222222222,8.251104744824499,0.8486316302453826,0.043054492753623184,0.8478260869565217,0.7934782608695654,9.500000000000002,23.509,-12.8839,0.5555555555555556,30
d2_move2c_ask0.85_widen1c_vol2k,test,51,20,-20.7882,-1.0394100000000006,10.030455820827832,-0.4634268787001622,-0.027174117647058824,0.7647058823529411,0.78,8.549019607843139,48.622,-12.7412,0.5,30
d2_move2c_ask0.85_widen1c_vol2k,train,74,36,106.98870000000001,2.9719083333333334,7.478330851939584,2.3844157677745996,0.09638621621621622,0.8918918918918919,0.7837837837837837,8.189189189189193,24.83550000000001,-12.598199999999999,0.75,45
d2_move2c_ask0.85_widen1c_vol2k,valid,48,18,-33.185100000000006,-1.8436166666666662,10.210734942048232,-0.7660372270795827,-0.046090416666666675,0.75,0.7843750000000002,9.04166666666667,41.3535,-12.8839,0.5555555555555556,45
d2_move2c_ask0.85_widen1c_vol2k,test,60,20,52.59570000000001,2.6297850000000005,8.408156112482,1.3987318854557897,0.058439666666666674,0.85,0.7796666666666668,8.183333333333334,32.63930000000001,-12.598199999999999,0.65,45
