qty,scenario,horizon,equity0,p_floor,p_dd20,median_final,p5_final,mean_max_dd_pct
q5,base,30d,500.0,0.0,0.0,520.4283333333333,496.9574783333333,0.02138776849690491
q5,base,90d,500.0,0.0,0.0,561.1360999999999,520.746515,0.02916886421899455
q5,cost_1c,30d,500.0,0.0,0.0,518.8391333333333,495.36379,0.022040981509476382
q5,cost_1c,90d,500.0,0.0,0.0,555.8368833333332,515.3239733333331,0.03046345646624103
q5,cost_2c,30d,500.0,0.0,0.0,517.0430166666666,493.50541833333335,0.022796641115927604
q5,cost_2c,90d,500.0,0.0,0.0,550.6256999999998,510.2427466666666,0.031962242066096436
q5,decay_50,30d,500.0,0.0,0.0,511.946064,488.2421373333333,0.025281303486649285
q5,decay_50,90d,500.0,0.0,0.0,535.3716919999998,494.98553033333326,0.037267102292990545
q5,zero_edge,30d,500.0,0.0,0.0,503.381978,479.76804799999996,0.030582929699309803
q5,zero_edge,90d,500.0,0.0,0.0,510.025034,469.5847156666666,0.05048401089731925
q5,adverse_blocks,30d,500.0,0.0,0.03389,439.96056666666664,406.42296,0.12933022452007004
q5,adverse_blocks,90d,500.0,0.00144,0.99499,319.1374000000002,261.56746000000004,0.3700010293658046
q5,interrupted,30d,500.0,0.0,0.0,517.1510000000001,494.46209666666664,0.02147888728084571
q5,interrupted,90d,500.0,0.0,0.0,551.1594833333332,512.2722249999999,0.030039741566653903
q10,base,30d,500.0,0.0,0.0,540.8985666666666,493.7785799999999,0.041675726226957595
q10,base,90d,500.0,0.0,0.00018,622.0385666666665,541.0797666666665,0.055064361717242674
q10,cost_1c,30d,500.0,0.0,0.0,537.3544333333333,490.57669000000004,0.04304098740515523
q10,cost_1c,90d,500.0,0.0,0.00021,611.908833333333,530.8525599999997,0.05778555213225874
q10,cost_2c,30d,500.0,0.0,0.0,533.8911,487.2731166666667,0.04441471695588929
q10,cost_2c,90d,500.0,0.0,0.00046,601.3208666666663,520.1252433333332,0.06062497113949434
q10,decay_50,30d,500.0,0.0,4e-05,523.9350613333334,477.18575799999996,0.049368835685477716
q10,decay_50,90d,500.0,0.0,0.00245,571.1061506666665,489.9729073333333,0.07106199581363369
q10,zero_edge,30d,500.0,0.0,0.00043,506.70975599999997,459.91030933333326,0.060258441858673656
q10,zero_edge,90d,500.0,0.0,0.03011,519.951501333333,438.60274799999956,0.09832786099168152
q10,adverse_blocks,30d,500.0,2e-05,0.77377,379.71703333333323,313.00831999999997,0.25768869436710057
q10,adverse_blocks,90d,500.0,0.87435,0.99999,138.27393333333364,23.60961333333327,0.7366676886175966
q10,interrupted,30d,500.0,0.0,0.0,534.2156,488.97421333333335,0.04198343965877263
q10,interrupted,90d,500.0,0.0,0.00014,602.5013333333332,524.5520233333333,0.0569986419729352
q15,base,30d,500.0,0.0,0.00083,561.3278499999999,490.53466499999996,0.06088822664928652
q15,base,90d,500.0,0.0,0.00434,683.0860999999998,561.3774749999998,0.07867481280271534
q15,cost_1c,30d,500.0,0.0,0.00105,555.94165,485.699415,0.06307430150640636
q15,cost_1c,90d,500.0,0.0,0.00621,667.5318499999996,546.02776,0.08262628830872827
q15,cost_2c,30d,500.0,0.0,0.00133,550.8063,480.96689499999997,0.06523010197375238
q15,cost_2c,90d,500.0,0.0,0.00987,652.1308499999996,530.6300449999999,0.08696259819081009
q15,decay_50,30d,500.0,0.0,0.00397,535.5411919999999,464.822837,0.0729377551712087
q15,decay_50,90d,500.0,0.0,0.0332,606.1908259999996,485.7909959999998,0.10259385140251621
q15,zero_edge,30d,500.0,0.0,0.01726,510.141034,439.629549,0.08901079561509447
q15,zero_edge,90d,500.0,1e-05,0.16833,529.7456520000001,408.3731520000005,0.14365310213993826
q15,adverse_blocks,30d,500.0,0.04308,0.95785,319.6795499999999,220.18854000000024,0.3850595148482968
q15,adverse_blocks,90d,500.0,0.99525,1.0,-42.30904999999893,-215.9969449999978,1.0998079089946058
q15,interrupted,30d,500.0,0.0,0.00089,551.3627,483.613435,0.06169132042520939
q15,interrupted,90d,500.0,0.0,0.00641,653.5424499999998,537.2829049999996,0.0816966392971344
q20,base,30d,500.0,0.0,0.00771,581.5533333333333,487.3727666666666,0.07957896276186666
q20,base,90d,500.0,0.0,0.02293,744.7155999999994,582.4813866666665,0.10009894137014146
q20,cost_1c,30d,500.0,0.0,0.01019,574.7151999999999,480.59376,0.08238983659058434
q20,cost_1c,90d,500.0,0.0,0.03252,723.819266666666,561.777533333333,0.10550750194075408
q20,cost_2c,30d,500.0,0.0,0.01296,567.7883999999999,474.2380533333333,0.08520000989556088
q20,cost_2c,90d,500.0,0.0,0.04615,702.9958666666658,540.9224999999999,0.11123673558172151
q20,decay_50,30d,500.0,0.0,0.0273,547.6834559999998,453.27212266666663,0.09517502699348901
q20,decay_50,90d,500.0,0.0,0.11174,641.9057013333334,479.92154133333327,0.1322852738600277
q20,zero_edge,30d,500.0,0.0,0.08068,513.448112,419.5311453333332,0.11684499630045622
q20,zero_edge,90d,500.0,0.00121,0.35007,539.3836693333335,376.2291226666665,0.18689847367756837
q20,adverse_blocks,30d,500.0,0.3046,0.98836,259.42446666666643,125.98801333333371,0.511585765536173
q20,adverse_blocks,90d,500.0,0.99955,1.0,-223.41020000000083,-453.4900866666656,1.460632105972077
q20,interrupted,30d,500.0,0.0,0.009,568.4223999999999,478.6326333333333,0.08032446060000933
q20,interrupted,90d,500.0,0.0,0.03339,704.2025999999996,548.1951466666663,0.10474454901181232
