,0,15,30,45
2026-05-25,-0.40119999999999933,-10.680600000000002,14.942600000000002,9.0785
2026-05-26,18.377200000000002,-32.231300000000005,-3.9542999999999995,7.251
2026-05-27,3.5531,-8.900299999999998,5.665800000000001,-3.4557
2026-05-28,0.6213999999999977,8.928199999999999,3.1197999999999997,4.7177999999999995
2026-05-29,-15.574800000000003,-5.178200000000002,13.428500000000001,6.980400000000002
2026-05-30,-2.2246999999999995,-19.0161,-9.841999999999999,-1.7780999999999985
2026-05-31,-12.598199999999999,5.2338,-4.049099999999999,1.4093999999999989
2026-06-01,-7.4578,-12.709599999999998,-21.145899999999997,-10.669
2026-06-02,26.1432,-3.9558000000000018,-2.6570000000000005,-9.841999999999999
2026-06-03,7.686000000000002,-3.368999999999998,-11.4037,-19.3367
2026-06-04,10.379299999999999,7.846399999999999,3.224199999999997,-7.4590999999999985
2026-06-05,2.6290999999999993,17.276,-5.910599999999998,5.250400000000001
2026-06-06,7.540900000000001,-24.2084,14.4557,10.8222
2026-06-07,-0.9968000000000021,0.8123000000000018,-17.8658,10.529700000000002
2026-06-08,11.6172,11.9083,8.8969,2.861600000000001
2026-06-09,4.474700000000002,-1.8517000000000001,-2.157199999999998,5.0919
2026-06-10,4.2795000000000005,-2.7319999999999993,7.2553,4.521800000000001
2026-06-11,12.258700000000001,24.8864,-16.3652,5.0111
2026-06-12,-7.737200000000001,11.3974,10.753799999999998,21.9298
2026-06-13,9.2893,-1.5088000000000013,-1.7135999999999987,6.9658
2026-06-14,9.440900000000001,12.8449,7.2741,13.9436
2026-06-15,4.425400000000001,-11.8802,-12.168,-5.996899999999999
2026-06-16,-0.10879999999999868,-9.189799999999998,-12.0793,14.453400000000002
2026-06-17,2.2588000000000004,-15.107999999999999,19.166800000000002,6.383799999999999
2026-06-18,6.8177,1.4284000000000008,-24.3328,-24.954700000000003
2026-06-19,6.528199999999999,-25.317000000000004,-7.458599999999999,16.4829
2026-06-20,-1.5722999999999976,9.5289,-0.9214000000000011,2.130300000000001
2026-06-21,13.3246,-6.903199999999998,2.545000000000001,-20.188499999999998
2026-06-22,3.7809000000000026,-1.2341999999999995,-8.468599999999999,-11.587600000000002
2026-06-23,-11.9924,15.7636,9.012,16.5551
2026-06-24,7.2523,14.7912,-8.350099999999998,1.6290999999999993
2026-06-25,-0.5848000000000031,8.851600000000001,-7.0158999999999985,-7.141
2026-06-26,0.024999999999998135,-2.8804999999999996,20.6248,11.0944
2026-06-27,9.235400000000002,7.9611,24.865200000000005,9.615
2026-06-28,-12.8839,-9.192200000000003,4.760500000000002,6.240399999999998
2026-06-29,3.5531,10.136900000000002,22.5948,-21.030999999999995
2026-06-30,-4.905200000000001,11.621799999999999,15.255600000000001,-9.1552
2026-07-01,9.8023,10.528000000000002,9.5098,12.869100000000003
2026-07-02,0.4834000000000027,9.764000000000003,-17.1488,10.479199999999999
2026-07-03,20.0542,-1.7181999999999977,20.327099999999998,-28.6542
2026-07-04,2.496800000000001,24.105600000000003,-30.089399999999998,4.081400000000003
2026-07-05,11.764299999999999,-36.1596,9.3931,15.7105
2026-07-06,-3.620300000000002,-7.306400000000002,-4.094000000000001,-2.7428999999999983
2026-07-07,-19.659599999999998,0.1140999999999961,-7.166200000000001,-11.189400000000001
2026-07-08,14.6476,-11.4071,3.9883,15.242899999999999
2026-07-09,4.133800000000001,-0.7599000000000009,4.8038,-16.498199999999997
2026-07-10,10.686399999999999,0.9600000000000022,-8.634200000000003,8.126199999999999
2026-07-11,7.745600000000001,-9.754100000000001,-3.8799999999999977,2.831999999999999
2026-07-12,-17.3054,-12.439399999999997,-0.3355999999999977,5.111000000000004
2026-07-13,-5.349200000000002,-2.7926999999999986,17.491500000000002,-15.754600000000002
2026-07-14,15.9098,5.3315,17.2266,-2.590999999999998
2026-07-15,-15.4875,-5.245599999999999,-10.154699999999998,-2.7713
2026-07-16,-5.337700000000002,30.2828,1.2071000000000023,-8.1292
2026-07-17,17.327499999999997,36.370999999999995,-14.5707,8.876800000000003
2026-07-18,2.4160000000000026,-22.9113,-3.586199999999998,4.806899999999999
2026-07-19,5.8077999999999985,-11.850200000000001,25.3393,-16.4941
2026-07-20,12.512200000000004,6.509500000000004,2.2784999999999993,8.3739
2026-07-21,4.9468,13.016300000000001,18.512200000000004,27.054100000000002
2026-07-22,-1.189499999999998,18.1468,-28.7363,-6.327499999999999
2026-07-23,8.267600000000002,-25.5375,7.993599999999999,13.1663
2026-07-24,-28.238599999999998,16.393,-6.1783,7.641399999999999
2026-07-25,-21.724899999999998,-21.3386,3.649000000000001,-30.761199999999995
2026-07-26,14.6476,-5.196999999999998,-3.9979000000000005,-8.008500000000002
2026-07-27,-2.9285999999999968,4.3843,-5.271399999999996,-27.081400000000002
2026-07-28,19.7404,36.522800000000004,-17.751999999999995,15.5194
2026-07-29,-3.5205999999999977,-5.197699999999999,10.529100000000001,11.82
2026-07-30,-16.268900000000002,-6.719000000000002,-10.7205,16.1419
2026-07-31,10.9541,-9.793100000000003,-23.644099999999998,21.160600000000002
2026-08-01,-15.181099999999999,14.664800000000001,12.923600000000002,17.1495
2026-08-02,1.4310999999999994,10.222900000000003,16.91,7.6356
2026-08-03,0.24609999999999932,-9.5339,-8.3871,22.587100000000003
2026-08-04,25.195,-8.259799999999997,2.194600000000001,2.3691000000000013
2026-08-05,15.477800000000002,-11.212400000000002,-16.2062,6.3511000000000015
2026-08-06,0.0,0.0,0.0,0.0
