excluded_week,n,edge_per_contract,total_pnl
2026-22,851,0.027936874265569928,356.6142000000001
2026-23,858,0.037017062937062944,476.40960000000007
2026-24,882,0.031451186696900994,416.0992000000001
2026-25,872,0.04459407492354742,583.2905000000001
2026-26,862,0.046978406805877816,607.4308000000001
2026-27,855,0.03652268226120859,468.40340000000003
2026-28,863,0.03863686365392044,500.15420000000006
2026-29,854,0.046645589383294314,597.5300000000002
2026-30,871,0.042516670493685425,555.4803
2026-31,894,0.04215047725577928,565.2379000000001
2026-32,928,0.03384575431034484,471.1329000000001
