ticker,coin,side,won,ask,depth,vwap,first_print_s,any_prints,filled_qty,exec_px,slip_c,fee_bt,pnl_backtest
KXBTC15M-26AUG041200-00,BTC,yes,1,0.85,5707.6103515625,0.8458830720812034,0.0,1018,15.0,0.8458830720812034,-0.4116927918796587,0.1339,2.1161000000000003
KXSOL15M-26AUG041500-00,SOL,yes,0,0.75,769.739990234375,0.7015859891192083,1.0,63,15.0,0.7015859891192083,-4.8414010880791665,0.1969,-11.4469
KXDOGE15M-26AUG042000-00,DOGE,no,1,0.73,0.0,,0.0,130,0.0,,,0.207,3.843000000000001
KXBTC15M-26AUG050300-00,BTC,no,1,0.85,70976.96875,0.7601969680452303,0.0,1522,15.0,0.7601969680452303,-8.980303195476969,0.1339,2.1161000000000003
KXETH15M-26AUG050400-00,ETH,yes,1,0.84,6.599999904632568,0.8300000000000001,1.0,95,6.599999904632568,0.8300000000000001,-0.9999999999999898,0.1412,2.2588000000000004
KXSOL15M-26AUG050600-00,SOL,no,1,0.72,271.83001708984375,0.6555195864284215,2.0,47,15.0,0.6555195864284215,-6.448041357157852,0.2117,3.9883
KXBTC15M-26AUG050900-00,BTC,no,1,0.81,22376.078125,0.7520808173531398,0.0,659,15.0,0.7520808173531398,-5.791918264686025,0.1616,2.6883999999999992
