ticker,series,side,frontier_bid,distance_c,multiplier,pool_reward,target,cumulative_ahead,guaranteed_capacity,rest_fraction,min_qty_for_1usd,modeled_reward,worst_one_fill_loss,reward_to_loss,fits_frontier,arithmetic_cover,scalable_candidate,reward_day_if_repeated
KXGPT-ASTRA-26SEP18,KXGPT,no,0.05,0.0,1.0,115.0,1000.0,45.0,955,0.25,71,1.011646636104572,3.5500000000000003,0.28497088340973853,True,False,False,0.24012049663363358
KXALBUMRELEASEDATE-NEWDON-27OCT01,KXALBUMRELEASEDATE,no,0.06,0.0,1.0,135.0,1000.0,903.0,97,0.25,60,1.0049627791563276,3.5999999999999996,0.27915632754342434,True,False,False,0.2454177622487475
KXHSI-26AUG31-28500,KXHSI,yes,0.03,1.0000000000000002,0.4999999999999999,135.0,1000.0,166.0,834,0.25,120,1.0049627791563274,3.5999999999999996,0.2791563275434243,True,False,False,0.16530531799091702
KXPOKEMON-26AUGPHAFLABO-412.28,KXPOKEMON,yes,0.16,0.0,1.0,345.0,1000.0,41.28,958,0.25,24,1.0319042871385842,3.84,0.268725074775673,True,False,False,0.1867285030683468
KXCBDECISIONMEXICO-26DEC17-H25P,KXCBDECISIONMEXICO,yes,0.07,0.0,1.0,145.0,1000.0,0.01,999,0.25,56,1.0079443892750746,3.9200000000000004,0.25712867073343737,True,False,False,0.22141265665394538
KXPOKEMON-26AUGMEGCHAYE-445.06,KXPOKEMON,yes,0.17,0.0,1.0,345.0,1000.0,3.72,996,0.25,24,1.0319042871385842,4.08,0.2529177174359275,True,False,False,0.186728503084341
KXTOPMODEL-26AUG31-CLAU5,KXTOPMODEL,yes,0.12,0.0,1.0,240.0,1000.0,144.37,855,0.25,34,1.015683345780433,4.08,0.24894199651481203,True,False,False,0.18402229293469566
KXEURUSDAW-26AUG07-1.1450,KXEURUSDAW,no,0.03,1.0000000000000002,0.4999999999999999,120.0,1000.0,128.99,871,0.25,135,1.0040285094515027,4.05,0.24790827393864265,True,False,False,0.2359436534442225
KXSGA-27FEBMARGIN-14.5,KXSGA,yes,0.05,0.0,1.0,100.0,1000.0,43.0,957,0.25,81,1.0023511941591388,4.05,0.24749412201460216,True,False,False,0.20078701501003693
KXFSLR-26OCTMWSOLD-3800,KXFSLR,no,0.05,0.0,1.0,100.0,1000.0,276.87,723,0.25,81,1.0023511941591388,4.05,0.24749412201460216,True,False,False,0.20078701545313732
KXSENATEMND-26-PFLA,KXSENATEMND,no,0.28,0.0,1.0,500.0,1000.0,447.95,552,0.25,17,1.0602469751777472,4.760000000000001,0.22274096117179562,True,False,False,0.08561389443001023
