ticker,series,coin,wkey,a0,a1,ret,result,volume,oi
KXZEC15M-26JUL040445-45,KXZEC15M,ZEC,26JUL040445,461.0958,460.4358,-0.0014313728296810012,no,1143.62,247.39
KXZEC15M-26JUL040430-30,KXZEC15M,ZEC,26JUL040430,462.4104,461.0958,-0.002842929138271943,no,872.45,444.27
KXZEC15M-26JUL040415-15,KXZEC15M,ZEC,26JUL040415,462.0197,462.4104,0.000845634937211511,yes,1784.02,807.4
KXZEC15M-26JUL040400-00,KXZEC15M,ZEC,26JUL040400,461.076,462.0197,0.002046734160962571,yes,1623.78,890.43
KXZEC15M-26JUL040345-45,KXZEC15M,ZEC,26JUL040345,461.9681,461.076,-0.0019310857178233103,no,380.02,299.21
KXZEC15M-26JUL040330-30,KXZEC15M,ZEC,26JUL040330,461.5447,461.9681,0.0009173542670948559,yes,850.37,435.02
KXZEC15M-26JUL040315-15,KXZEC15M,ZEC,26JUL040315,460.2981,461.5447,0.002708244939529407,yes,960.59,730.65
KXZEC15M-26JUL040300-00,KXZEC15M,ZEC,26JUL040300,460.3758,460.2981,-0.00016877516150946647,no,2310.4,481.57
KXZEC15M-26JUL040245-45,KXZEC15M,ZEC,26JUL040245,460.0264,460.3758,0.0007595216274544304,yes,3865.38,2588.16
KXZEC15M-26JUL040230-30,KXZEC15M,ZEC,26JUL040230,461.8578,460.0264,-0.003965289749355698,no,1613.5,1061.05
KXZEC15M-26JUL040215-15,KXZEC15M,ZEC,26JUL040215,461.415,461.8578,0.0009596567081693855,yes,966.88,634.97
KXZEC15M-26JUL040200-00,KXZEC15M,ZEC,26JUL040200,463.0309,461.415,-0.0034898318881093114,no,227.71,81.35
KXZEC15M-26JUL040145-45,KXZEC15M,ZEC,26JUL040145,459.3911,463.0309,0.007923096463993272,yes,524.04,333.12
KXZEC15M-26JUL040130-30,KXZEC15M,ZEC,26JUL040130,460.7192,459.3911,-0.002882666925971408,no,3337.64,2010.25
KXZEC15M-26JUL040115-15,KXZEC15M,ZEC,26JUL040115,461.6494,460.7192,-0.002014949006757105,no,3587.85,1421.53
KXZEC15M-26JUL040100-00,KXZEC15M,ZEC,26JUL040100,463.3246,461.6494,-0.0036156077186490017,no,403.49,259.29
