wkey,coin,day,minute,px,vol,frac_long,maker_yes,won,edge,yes_px,hour,sd,rng,vb,blk,vresid
26AUG010000,SOL,2026-08-01,8,0.74,11625.490000000003,0.33760039361781746,True,1,0.26,0.74,4,0.15762008409175177,0.533,mid,00-07,0.0341509433962264
26AUG010000,XRP,2026-08-01,8,0.79,4544.289999999998,0.7903038758529938,True,1,0.20999999999999996,0.79,4,0.16693090957467577,0.401,high,00-07,0.08260663507109
26AUG010015,SOL,2026-08-01,9,0.77,3357.7599999999998,0.824013628133041,True,1,0.22999999999999998,0.77,4,0.10220300653823519,0.37,lowest,00-07,-0.004339622641509444
26AUG010100,XRP,2026-08-01,9,0.69,3813.9600000000005,0.5326589686310294,True,1,0.31000000000000005,0.69,5,0.16733334087890844,0.43299999999999994,high,00-07,0.1826066350710901
26AUG010145,SOL,2026-08-01,11,0.66,2399.0600000000004,0.7112577426158577,True,0,-0.66,0.66,5,0.18205868184836346,0.6729999999999999,high,00-07,-0.78739336492891
26AUG010245,XRP,2026-08-01,10,0.6699999999999999,4834.579999999999,0.4691844999979318,False,1,0.33000000000000007,0.33000000000000007,6,0.113662794129085,0.38,lowest,00-07,0.09566037735849064
26AUG010245,DOGE,2026-08-01,8,0.71,3174.72,0.6365569247051707,False,1,0.29000000000000004,0.29000000000000004,6,0.06834552736727628,0.21999999999999997,lowest,00-07,0.05566037735849061
26AUG010315,SOL,2026-08-01,8,0.67,2080.4300000000007,0.541609186562393,True,1,0.32999999999999996,0.67,7,0.13377729118338297,0.41000000000000003,low,00-07,0.11298578199052128
26AUG010330,DOGE,2026-08-01,11,0.79,3016.67,0.5342248240609678,False,1,0.20999999999999996,0.20999999999999996,7,0.1373585737323221,0.3819999999999999,low,00-07,-0.007014218009478712
26AUG010330,SOL,2026-08-01,11,0.72,4227.010000000002,0.5044747942398997,False,1,0.28,0.28,7,0.13717937825410137,0.42000000000000004,low,00-07,0.06298578199052135
26AUG010330,XRP,2026-08-01,11,0.75,2968.67,0.6202103972485996,False,1,0.25,0.25,7,0.16423209740541533,0.44300000000000006,high,00-07,0.12260663507109004
26AUG010345,DOGE,2026-08-01,12,0.71,2109.3599999999988,0.7096275647589793,False,1,0.29000000000000004,0.29000000000000004,7,0.09488030737340986,0.257,lowest,00-07,0.05566037735849061
26AUG010345,SOL,2026-08-01,11,0.78,3582.0200000000004,0.2717070256447479,False,1,0.21999999999999997,0.21999999999999997,7,0.13015769528162993,0.36,low,00-07,0.0029857819905212968
26AUG010400,DOGE,2026-08-01,9,0.78,3567.500000000001,0.17226909600560614,True,1,0.21999999999999997,0.78,8,0.1559147942849654,0.41100000000000003,mid,08-13,-0.005849056603773634
