coin,wkey,day,px,maker_yes,vol,frac_long,won,edge
ETH,26AUG041815,2026-08-04,0.81,False,25.6,0.0,0,-0.81
ETH,26AUG041745,2026-08-04,0.65,False,6540.190000000001,0.2510920936547715,1,0.35
ETH,26AUG041730,2026-08-04,0.65,True,19802.339999999997,0.17430970279270033,1,0.35
ETH,26AUG041715,2026-08-04,0.6599999999999999,False,4679.190000000002,0.37827914660443346,1,0.3400000000000001
ETH,26AUG041700,2026-08-04,0.69,False,2960.99,0.2848405431967011,1,0.31000000000000005
ETH,26AUG041645,2026-08-04,0.67,True,4390.08,0.13598613237116408,1,0.32999999999999996
ETH,26AUG041630,2026-08-04,0.8200000000000001,False,9013.810000000001,0.5551514842225429,1,0.17999999999999994
ETH,26AUG041615,2026-08-04,0.77,False,8311.990000000002,0.6419389339977549,1,0.22999999999999998
ETH,26AUG041600,2026-08-04,0.7,False,6218.530000000003,0.4021545284818113,1,0.30000000000000004
ETH,26AUG041545,2026-08-04,0.65,True,4451.440000000001,0.42334166022680275,1,0.35
ETH,26AUG041530,2026-08-04,0.6599999999999999,False,10673.039999999999,0.5486777900204628,1,0.3400000000000001
ETH,26AUG041515,2026-08-04,0.65,False,6944.440000000002,0.4109676230192786,0,-0.65
ETH,26AUG041445,2026-08-04,0.65,False,3839.8300000000004,0.244417070547394,1,0.35
ETH,26AUG041430,2026-08-04,0.68,True,5050.6100000000015,0.5254850404208598,1,0.31999999999999995
ETH,26AUG041415,2026-08-04,0.67,True,3182.6300000000006,0.505899209144638,1,0.32999999999999996
ETH,26AUG041400,2026-08-04,0.65,False,8062.640000000002,0.6470945000644951,1,0.35
ETH,26AUG041345,2026-08-04,0.65,True,77.56,0.5977307890665292,1,0.35
ETH,26AUG041330,2026-08-04,0.6699999999999999,False,2436.73,0.35642438842218876,0,-0.6699999999999999
ETH,26AUG041315,2026-08-04,0.73,True,4309.3899999999985,0.6877539512552822,1,0.27
ETH,26AUG041300,2026-08-04,0.65,True,13772.770000000013,0.4504482395335138,1,0.35
ETH,26AUG041245,2026-08-04,0.65,True,6040.270000000003,0.45605577234130235,0,-0.65
ETH,26AUG041215,2026-08-04,0.6699999999999999,False,0.0,0.0,1,0.33000000000000007
ETH,26AUG041200,2026-08-04,0.66,True,3664.4699999999984,0.3462301506084101,1,0.33999999999999997
ETH,26AUG041145,2026-08-04,0.76,False,50.08,0.0,0,-0.76
ETH,26AUG041130,2026-08-04,0.72,False,18264.639999999996,0.41460767910016305,1,0.28
ETH,26AUG041115,2026-08-04,0.65,True,11820.180000000002,0.42572363534227076,0,-0.65
ETH,26AUG041100,2026-08-04,0.65,False,1420.48,0.409291225501239,0,-0.65
ETH,26AUG041045,2026-08-04,0.65,True,6292.459999999999,0.5937439411613266,1,0.35
ETH,26AUG041030,2026-08-04,0.65,False,3894.189999999998,0.4509307455465709,0,-0.65
ETH,26AUG041015,2026-08-04,0.65,False,1183.8899999999996,0.6274316025982144,0,-0.65
ETH,26AUG041000,2026-08-04,0.6699999999999999,False,3583.4300000000007,0.7667681523010075,1,0.33000000000000007
ETH,26AUG040945,2026-08-04,0.71,True,12243.329999999998,0.345233690507403,1,0.29000000000000004
ETH,26AUG040930,2026-08-04,0.65,False,4361.57,0.4191678684510394,1,0.35
ETH,26AUG040915,2026-08-04,0.66,True,0.0,0.0,1,0.33999999999999997
ETH,26AUG040900,2026-08-04,0.6699999999999999,False,2389.32,0.4304362747559975,1,0.33000000000000007
ETH,26AUG040845,2026-08-04,0.65,True,13026.970000000001,0.38032021260508025,1,0.35
