coin,wkey,day,minute,px,vol,frac_long,maker_yes,won,edge
BTC,26JUL232345,2026-07-24,2,0.87,0.0,0.0,True,1,0.13
BTC,26JUL240030,2026-07-24,2,0.89,0.0,0.0,True,1,0.10999999999999999
BTC,26JUL240130,2026-07-24,2,0.917,0.0,0.0,False,1,0.08299999999999996
BTC,26JUL240245,2026-07-24,2,0.945,0.0,0.0,True,1,0.05500000000000005
BTC,26JUL240600,2026-07-24,2,0.941,24769.149999999958,0.8383662741757398,True,1,0.05900000000000005
BTC,26JUL240630,2026-07-24,2,0.56,242.07,0.0,True,1,0.43999999999999995
BTC,26JUL240645,2026-07-24,2,0.915,0.0,0.0,True,1,0.08499999999999996
BTC,26JUL240815,2026-07-24,2,0.6,2525.1000000000004,0.0,True,0,-0.6
BTC,26JUL240830,2026-07-24,2,0.941,925.36,0.8161148093714878,True,0,-0.941
BTC,26JUL240930,2026-07-24,2,0.88,785.13,0.0,True,1,0.12
BTC,26JUL241015,2026-07-24,2,0.85,0.0,0.0,True,0,-0.85
BTC,26JUL241130,2026-07-24,2,0.7,572.19,0.0,True,1,0.30000000000000004
BTC,26JUL241145,2026-07-24,2,0.948,95975.0999999999,0.6459212858335139,True,1,0.052000000000000046
BTC,26JUL241200,2026-07-24,2,0.63,7.62,0.0,False,1,0.37
BTC,26JUL241230,2026-07-24,2,0.83,65.55000000000001,0.0,False,1,0.17000000000000004
BTC,26JUL241300,2026-07-24,2,0.904,2774.57,0.0,True,1,0.09599999999999997
BTC,26JUL241315,2026-07-24,2,0.92,350.06,0.0,False,1,0.07999999999999996
BTC,26JUL241345,2026-07-24,2,0.86,1097.21,0.0,True,1,0.14
BTC,26JUL241545,2026-07-24,2,0.88,27.09,0.0,True,1,0.12
BTC,26JUL241615,2026-07-24,2,0.8200000000000001,0.0,0.0,False,1,0.17999999999999994
BTC,26JUL241715,2026-07-24,2,0.83,88.18,0.0,False,1,0.17000000000000004
BTC,26JUL241730,2026-07-24,2,0.948,15253.470000000003,0.7378963606313841,True,1,0.052000000000000046
BTC,26JUL241800,2026-07-24,2,0.92,1296.58,0.0,False,1,0.07999999999999996
BTC,26JUL241815,2026-07-24,2,0.94,75522.77000000005,0.6350306007049258,True,1,0.06000000000000005
BTC,26JUL241830,2026-07-24,2,0.87,1672.84,0.0,True,1,0.13
BTC,26JUL242000,2026-07-25,2,0.9299999999999999,112687.39999999997,0.5072789859380912,False,1,0.07000000000000006
BTC,26JUL242115,2026-07-25,2,0.948,2591.1800000000003,0.8038538426508386,False,1,0.052000000000000046
BTC,26JUL242130,2026-07-25,2,0.63,0.0,0.0,True,1,0.37
BTC,26JUL242230,2026-07-25,2,0.89,0.0,0.0,False,1,0.10999999999999999
BTC,26JUL242345,2026-07-25,2,0.84,278.23,0.0,True,1,0.16000000000000003
BTC,26JUL250200,2026-07-25,2,0.949,49506.65000000001,0.9503814134060778,False,1,0.051000000000000045
BTC,26JUL250215,2026-07-25,3,0.946,500.0,1.0,True,1,0.05400000000000005
BTC,26JUL250245,2026-07-25,2,0.926,0.0,0.0,False,1,0.07399999999999995
BTC,26JUL250315,2026-07-25,2,0.904,0.0,0.0,True,1,0.09599999999999997
BTC,26JUL250330,2026-07-25,2,0.78,47.07,0.0,True,1,0.21999999999999997
BTC,26JUL250430,2026-07-25,2,0.947,18404.28000000001,0.7153624048319195,True,1,0.05300000000000005
BTC,26JUL250445,2026-07-25,2,0.926,0.0,0.0,False,1,0.07399999999999995
BTC,26JUL250515,2026-07-25,2,0.74,5.17,0.0,False,0,-0.74
BTC,26JUL250630,2026-07-25,2,0.5900000000000001,0.0,0.0,False,1,0.4099999999999999
BTC,26JUL250645,2026-07-25,2,0.88,0.0,0.0,False,1,0.12
BTC,26JUL250715,2026-07-25,2,0.8200000000000001,0.0,0.0,False,0,-0.8200000000000001
BTC,26JUL250730,2026-07-25,2,0.75,12.51,0.0,True,1,0.25
BTC,26JUL250745,2026-07-25,2,0.907,0.0,0.0,False,1,0.09299999999999997
BTC,26JUL250800,2026-07-25,2,0.902,0.0,0.0,True,1,0.09799999999999998
BTC,26JUL250815,2026-07-25,2,0.5800000000000001,5088.040000000001,0.0,False,1,0.41999999999999993
BTC,26JUL250830,2026-07-25,2,0.74,0.0,0.0,True,0,-0.74
BTC,26JUL250900,2026-07-25,2,0.93,486.85999999999996,0.0,True,1,0.06999999999999995
BTC,26JUL250930,2026-07-25,2,0.58,2016.08,0.0,True,1,0.42000000000000004
BTC,26JUL251015,2026-07-25,2,0.87,402.13,0.0,False,1,0.13
BTC,26JUL251045,2026-07-25,2,0.949,9747.610000000002,0.6410781719826705,True,1,0.051000000000000045
BTC,26JUL251145,2026-07-25,3,0.87,268.55,0.0,True,1,0.13
BTC,26JUL251145,2026-07-25,2,0.88,5830.450000000003,0.5137013438070818,True,1,0.12
BTC,26JUL251345,2026-07-25,2,0.946,104266.19999999992,0.6026132150207841,True,1,0.05400000000000005
BTC,26JUL251430,2026-07-25,2,0.913,0.0,0.0,True,1,0.08699999999999997
BTC,26JUL251530,2026-07-25,2,0.6599999999999999,0.0,0.0,False,1,0.3400000000000001
BTC,26JUL251545,2026-07-25,2,0.924,3249.1900000000005,0.5688617778584816,False,1,0.07599999999999996
BTC,26JUL251600,2026-07-25,2,0.5800000000000001,0.0,0.0,False,1,0.41999999999999993
BTC,26JUL251615,2026-07-25,2,0.9410000000000001,1789.28,0.0,False,1,0.05899999999999994
BTC,26JUL251700,2026-07-25,2,0.913,95.16,0.0,True,1,0.08699999999999997
BTC,26JUL251730,2026-07-25,2,0.51,0.0,0.0,False,0,-0.51
BTC,26JUL251830,2026-07-25,2,0.84,0.0,0.0,True,1,0.16000000000000003
BTC,26JUL251900,2026-07-25,2,0.934,1754.3100000000002,0.6545251409386026,True,1,0.06599999999999995
BTC,26JUL251915,2026-07-25,2,0.84,0.0,0.0,True,1,0.16000000000000003
BTC,26JUL251930,2026-07-25,2,0.949,33653.04999999997,0.6752145793620492,False,1,0.051000000000000045
BTC,26JUL251945,2026-07-25,2,0.77,0.0,0.0,False,1,0.22999999999999998
BTC,26JUL252000,2026-07-26,2,0.946,16259.540000000008,0.679248613429408,False,1,0.05400000000000005
BTC,26JUL252115,2026-07-26,2,0.74,610.1800000000001,0.0,False,1,0.26
BTC,26JUL252145,2026-07-26,2,0.88,0.0,0.0,False,1,0.12
BTC,26JUL252200,2026-07-26,2,0.74,0.0,0.0,False,1,0.26
BTC,26JUL252215,2026-07-26,2,0.82,0.0,0.0,True,1,0.18000000000000005
BTC,26JUL252315,2026-07-26,2,0.78,0.0,0.0,True,1,0.21999999999999997
